geoid,name,B08105A001,"B08105A001, Error",B08105A002,"B08105A002, Error",B08105A003,"B08105A003, Error",B08105A004,"B08105A004, Error",B08105A005,"B08105A005, Error",B08105A006,"B08105A006, Error",B08105A007,"B08105A007, Error"
05000US06037,"Los Angeles County, CA",2481868,9861,1852703,8684,214006,3832,119542,2376,69536,1837,62391,1750,163690,3133
14000US06037101110,"Census Tract 1011.10, Los Angeles, CA",1465,285,1216,265,108,57,23,29,0,12,20,30,98,53
14000US06037101122,"Census Tract 1011.22, Los Angeles, CA",1656,234,1466,253,107,98,0,12,11,17,7,11,65,38
14000US06037101210,"Census Tract 1012.10, Los Angeles, CA",2131,451,1785,365,166,145,50,52,33,37,47,53,50,62
14000US06037101220,"Census Tract 1012.20, Los Angeles, CA",1063,185,836,165,111,66,18,20,0,12,23,35,75,51
14000US06037101300,"Census Tract 1013, Los Angeles, CA",1771,211,1382,176,134,103,86,100,0,12,0,12,169,88
14000US06037101400,"Census Tract 1014, Los Angeles, CA",1406,180,1057,143,182,73,44,45,31,51,7,12,85,65
14000US06037102103,"Census Tract 1021.03, Los Angeles, CA",640,101,492,105,71,52,0,12,0,12,18,21,59,36
14000US06037102104,"Census Tract 1021.04, Los Angeles, CA",1301,329,972,285,82,61,58,52,60,61,16,20,113,80
14000US06037102105,"Census Tract 1021.05, Los Angeles, CA",590,123,457,109,22,28,9,11,65,54,37,51,0,12
14000US06037102107,"Census Tract 1021.07, Los Angeles, CA",1593,253,1356,205,186,89,0,12,0,12,0,12,51,56
14000US06037103101,"Census Tract 1031.01, Los Angeles, CA",971,147,809,145,112,69,0,12,0,12,21,18,29,22
14000US06037103102,"Census Tract 1031.02, Los Angeles, CA",1731,244,1527,218,163,90,15,18,16,19,10,14,0,12
14000US06037103200,"Census Tract 1032, Los Angeles, CA",2520,503,1988,453,367,272,0,17,96,91,0,17,69,65
14000US06037103300,"Census Tract 1033, Los Angeles, CA",1441,211,1115,191,117,103,30,31,0,12,7,10,172,105
14000US06037103400,"Census Tract 1034, Los Angeles, CA",2397,390,2027,412,217,115,0,17,0,17,0,17,153,106
14000US06037104103,"Census Tract 1041.03, Los Angeles, CA",1117,223,871,192,191,82,37,45,0,12,11,16,7,9
14000US06037104105,"Census Tract 1041.05, Los Angeles, CA",1078,284,747,227,132,92,85,82,21,31,30,35,63,54
