Application Number,,Type of tax credit funding,Project Name,Project Address,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type,Housing Type,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award,Total State Award,,,,,,
CA-2000-858,,4%,Main Street Plaza,"333 West Main Street, Alhambra, CA 918017427 ",Alhambra,91801,626-289-5800,Los Angeles,49,22,27,4803.04,53383596,Placed In Service,02/10/99,02/10/99,New Construction,Senior,110,109,0,88,22,0,0,0,0,,,,,,,,,,,Main Street Plaza/4th St. L.P.,Darrin Willard,"384 Forest Ave., Ste. 14",Laguna Beach,Ca,92651,949-443-9101,949-443-9133,"Foundation for Affordable Housing II, Inc.",,,,,JDC Management Company,Gary Lubin,121 South Beverly Drive,Beverly Hills,CA,90212,310-432-0800,310-432-0888,,"$486,869",$0,,,,,,
CA-2005-863,,4%,Wysong Village Apartments,"111 North Chapel Avenue, Alhambra, CA 918010000 ",Alhambra,91801,626-284-3956,Los Angeles,49,22,27,4810.02,5337-026-021,Placed In Service,08/31/06,08/31/06,Acquisition/Rehab,Senior,95,94,0,95,0,0,0,0,0,,,,,,,,,,,Wysong Village Apartments LP,Steve Bodkin,2335 North Bank Drive,Columbus,OH,43220,614-451-2151,614-273-2154,"National Church Residences of Wysong Apartments, C",,,,,National Church Residences,Steve Bodkin,2335 North Bank Drive,Columbus,OH,43220,614-451-2151,614-273-2154,National Church Residences,"$293,106",$0,,,,,,
CA-1992-901,,4%,Altadena Vistas Apartments,"815 E. Calaveras Street, Altadena, CA 91001     ",Altadena,91001,323-734-2111,Los Angeles,41,25,27,4611,,Extended,04/25/95,04/25/95,New Construction,Senior,22,22,0,0,0,0,0,0,0,,,,,,,,,,,Altadena Vistas Apartments Limited Part,Carolina Romo,700 W. Main Street,Alhambra,CA,91801,626-586-1824,626-943-3816,Housing Development Corporation -I,,,,,"Leine Management Group, Inc.",Allan Kokin,"822 S. Robertson Blvd., Suite 200",Los Angeles,CA,90035,310-358-3489,310-358-3494,L.A. Community Development Commission,"$74,027",$0,,,,,,
CA-2003-819,,4%,Heritage Park at Arcadia,"150 West Las Tunas Drive, Arcadia, CA 91007     ",Arcadia,91007,626-821-9048,Los Angeles,49,22,27,4316,5788-022-012,Placed In Service,09/13/04,09/13/04,New Construction,Senior,54,53,0,45,9,0,0,0,0,,,,,,,,,,,"Arcadia Heritage Park, L.P., a CA LP",Kenneth Robertson,3803 Casselle Ave.,Orange,CA,92869,7146281650,7146281657,Riverside Charitable Corp.,"ASL Arcadia, Inc.",,,,USA Multifamily Management Inc,Victoria Critchfield,3200 Douglas Blvd #200,Roseville,CA,95661,9167243855,9167730529,"American Senior Living, Inc.","$295,337",$0,,,,,,
CA-2010-830,,4%,Campus Commons,"16 Campus Drive, Arcadia, CA 91007     ",Arcadia,91007,626.445.7017,Los Angeles,49,22,27,4307.21,5778-014-012,Placed in Service,04/02/12,04/02/12,New Construction,Senior,43,42,0,33,10,0,0,0,0,,,,,,,,,,,"Arcadia Campus Commons Associates, a CA LP",Bree Comstock,"5755 E. Kings Canyon Rd., Ste. 110",Fresno,CA,93727,559.253.7240,,Community Revitalization and Development Corp.,"Arcadia Campus Commons Assocites, LLC",,,,Winn Residential,Jim Aliberti,"2350 W. Shaw Ave., Ste. 142",Fresno,CA,93711,559.435.3434,559.476.5538,"Ashwood Construction, Inc","$383,390",$0,,,,,,
CA-2013-875,,4%,Naomi Gardens,"655 W. Naomi Avenue, Arcadia, CA 91007",Arcadia,91007,6264458474,Los Angeles,49,24,27,4317.00,5784-003-047,Placed In Service,10/31/14,10/31/14,Acquisition/Rehabilitation,Seniors,101,100,0,100,1,0,0,0,0,,0,0,0,0,10,0,90,,,Rebuild America - Arcadia LLC,"Michael M. Stein, Esq. (in regard to application)","18757 Burbank Blvd., Suite 102",Tarzana,CA,91356,8187741200,8187741400,"Rebuild America - Arcadia, LLC",,,,,"Mansermar, Inc.",,"2405 Satellite Blvd, Suite 100",Duluth,GA,30096,678-330-2003,,"Rebuild America, Inc.","$590,509",$0,,,,,,
CA-1990-147,,9%,Eucalyptus Garden Apartments,"34 Banning Street, Avalon, CA 90704     ",Avalon,90704,310-510-6927,Los Angeles,70,26,47,5990,,Extended,12/13/93,12/13/93,New Construction,Non Targeted,80,38,0,0,0,0,0,0,0,,,,,,,,,,,Eucalyptus Garden Investors LP,CYRUS YOUSSEFI,"1006 4TH STREET, SUITE 701",Sacramento,CA,95814,916-446-4040,916-446-4044,CYRUS YOUSSEFI,,,,,"C.F.Y. DEVELOPMENT, INC.",SHIRLENE GARNER,"1006 4TH STREET, SUITE 701",Sacramento,CA,95814,916-446-4040,916-446-3401,Cyrus Youssefi & Daniels C. Logue,"$272,767",$0,,,,,,
CA-1999-229,,9%,Cantamar Villas,"309 Beacon Street, Avalon, CA 90704     ",Avalon,90704,310-510-2471,Los Angeles,70,26,47,5990,7480-01-01,Placed In Service,11/29/01,11/29/01,New Construction,Large Family,38,36,0,13,7,16,2,0,0,,,,,,,,,,,"Catalina Avalon Limited, a California LP",Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,801-819-7989,810-819-7888,Thomas L. Safran,,,,,Thomas Safran & Associates,Jordan Pynes,"11812 San Vicente, Suite 600",Los Angeles,CA,90049,310-840-4888,310-207-6986,,"$232,245",$0,,,,,,
CA-2001-804,,4%,Iris Gardens,"385 North Rockvale Avenue, Azusa, CA 91702     ",Azusa,91702,6263342619,Los Angeles,48,22,32,4042.01,8612020006&019,Placed In Service,06/30/00,06/30/00,Acquisition/Rehab,Non Targeted,120,118,6,43,69,1,1,0,0,,,,,,,,,,,"Rockvale Apartments, L.P.",Greg Worchell,2400 Main Street  #201,Irvine,CA,92614,3108801293x2,,AOF Pacific Affordable Housing Corporation,,,,,"VPM Management, Inc.",Kevin Doherty,2400 Main Street  #201,Irvine,CA,92614,9498631500x217,9498631801,,"$290,621",$0,,,,,,
CA-2013-179,,9%,Azusa Apartments,"805 S. Cerritos Avenue, Azusa, CA 91702",Azusa,91702,6269699314,Los Angeles,48,24,32,4043.02,8621-008-021,Placed In Service,03/20/14,03/20/14,Rehabilitation,At-Risk,88,87,0,8,30,42,8,0,0,,9,0,18,0,35,0,25,,,"Woodcroft Street Housing Associates, L.P.",Anne B. Wilson,"4305 University Avenue, #550",San Diego,CA,92105,6194508709,6192824145,Big Dalton Wash LLC,,,,,"SK Management Co., LLC",Bruce Steinbaum,"15910 Ventura Blvd., Suite 1400",Encino,CA,91436,3239302300,,Community Housing Works,"1,008,390","3,402,648",,,,,,
