Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010
"06037101110","14000US06037101110","Census Tract 1011.10","Census Tract 1011.10, Los Angeles County, California","ca","140","00","ACSSF","0003870",,,,,"06","037",,,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53077,49596,,,77639,,57625,70625,53625,48860
"06037101122","14000US06037101122","Census Tract 1011.22","Census Tract 1011.22, Los Angeles County, California","ca","140","00","ACSSF","0003871",,,,,"06","037",,,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88953,88488,,,,,108409,,89257,87311
"06037101210","14000US06037101210","Census Tract 1012.10","Census Tract 1012.10, Los Angeles County, California","ca","140","00","ACSSF","0003872",,,,,"06","037",,,,"101210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32119,30713,,,,,40526,,32039,30944
"06037101220","14000US06037101220","Census Tract 1012.20","Census Tract 1012.20, Los Angeles County, California","ca","140","00","ACSSF","0003873",,,,,"06","037",,,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41728,39330,,,48375,,67778,,46393,39330
"06037101300","14000US06037101300","Census Tract 1013","Census Tract 1013, Los Angeles County, California","ca","140","00","ACSSF","0003874",,,,,"06","037",,,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86914,85938,,,118147,,,121563,187989,81786
"06037101400","14000US06037101400","Census Tract 1014","Census Tract 1014, Los Angeles County, California","ca","140","00","ACSSF","0003875",,,,,"06","037",,,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71125,67581,,,112269,,,137708,51026,68871
"06037102103","14000US06037102103","Census Tract 1021.03","Census Tract 1021.03, Los Angeles County, California","ca","140","00","ACSSF","0003876",,,,,"06","037",,,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76333,75667,,,,,,122708,79167,75333
"06037102104","14000US06037102104","Census Tract 1021.04","Census Tract 1021.04, Los Angeles County, California","ca","140","00","ACSSF","0003877",,,,,"06","037",,,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70754,78816,,,,,,,39053,80114
"06037102105","14000US06037102105","Census Tract 1021.05","Census Tract 1021.05, Los Angeles County, California","ca","140","00","ACSSF","0003878",,,,,"06","037",,,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52132,50944,,,88000,,62500,81250,50455,57083
"06037102107","14000US06037102107","Census Tract 1021.07","Census Tract 1021.07, Los Angeles County, California","ca","140","00","ACSSF","0003879",,,,,"06","037",,,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106037,106536,,,161250,,103571,,100982,107357
