Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,PCT_SE_A04001_002,PCT_SE_A04001_003,PCT_SE_A04001_004,PCT_SE_A04001_005,PCT_SE_A04001_006,PCT_SE_A04001_007,PCT_SE_A04001_008,PCT_SE_A04001_009,PCT_SE_A04001_010,PCT_SE_A04001_011,PCT_SE_A04001_012,PCT_SE_A04001_013,PCT_SE_A04001_014,PCT_SE_A04001_015,PCT_SE_A04001_016,PCT_SE_A04001_017,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,PCT_SE_A10060_002,PCT_SE_A10060_003,SE_A09001_001,SE_A09001_002,SE_A09001_003,SE_A09001_004,SE_A09001_005,SE_A09001_006,SE_A09001_007,SE_A09001_008,SE_A09001_009,SE_A09001_010,PCT_SE_A09001_002,PCT_SE_A09001_003,PCT_SE_A09001_004,PCT_SE_A09001_005,PCT_SE_A09001_006,PCT_SE_A09001_007,PCT_SE_A09001_008,PCT_SE_A09001_009,PCT_SE_A09001_010
"06037101110","14000US06037101110","Census Tract 1011.10","Census Tract 1011.10, Los Angeles County, California","ca","140","00","ACSSF","0003870",,,,,"06","037",,,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4314,4314,3314,47,4,329,4,499,117,76.82,1.09,0.09,7.63,0.09,11.57,2.71,4314,2955,2516,47,4,329,4,0,55,1359,798,0,0,0,0,499,62,68.5,58.32,1.09,0.09,7.63,0.09,0,1.27,31.5,18.5,0,0,0,0,11.57,1.44,3085,524,765,1101,411,180,50,54,16.99,24.8,35.69,13.32,5.83,1.62,1.75,53077,1596,767,829,48.06,51.94,1927,1829,106,144,540,484,261,212,82,98,94.91,5.5,7.47,28.02,25.12,13.54,11,4.26,5.09
"06037101122","14000US06037101122","Census Tract 1011.22","Census Tract 1011.22, Los Angeles County, California","ca","140","00","ACSSF","0003871",,,,,"06","037",,,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,3239,2837,61,13,206,0,61,61,87.59,1.88,0.4,6.36,0,1.88,1.88,3239,3096,2755,61,13,206,0,0,61,143,82,0,0,0,0,61,0,95.59,85.06,1.88,0.4,6.36,0,0,1.88,4.41,2.53,0,0,0,0,1.88,0,2597,168,749,888,463,248,13,68,6.47,28.84,34.19,17.83,9.55,0.5,2.62,88953,1256,1026,230,81.69,18.31,1907,1834,21,58,287,460,669,222,117,73,96.17,1.1,3.04,15.05,24.12,35.08,11.64,6.14,3.83
"06037101210","14000US06037101210","Census Tract 1012.10","Census Tract 1012.10, Los Angeles County, California","ca","140","00","ACSSF","0003872",,,,,"06","037",,,,"101210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6052,6052,4771,172,0,260,0,736,113,78.83,2.84,0,4.3,0,12.16,1.87,6052,3468,2991,172,0,260,0,0,45,2584,1780,0,0,0,0,736,68,57.3,49.42,2.84,0,4.3,0,0,0.74,42.7,29.41,0,0,0,0,12.16,1.12,4107,762,1185,1340,548,174,36,62,18.55,28.85,32.63,13.34,4.24,0.88,1.51,32119,2321,337,1984,14.52,85.48,2770,2664,302,530,485,735,342,221,49,106,96.17,10.9,19.13,17.51,26.53,12.35,7.98,1.77,3.83
"06037101220","14000US06037101220","Census Tract 1012.20","Census Tract 1012.20, Los Angeles County, California","ca","140","00","ACSSF","0003873",,,,,"06","037",,,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497,3497,2494,71,0,302,0,487,143,71.32,2.03,0,8.64,0,13.93,4.09,3497,2182,1694,71,0,302,0,17,98,1315,800,0,0,0,0,470,45,62.4,48.44,2.03,0,8.64,0,0.49,2.8,37.6,22.88,0,0,0,0,13.44,1.29,2484,515,700,769,347,129,0,24,20.73,28.18,30.96,13.97,5.19,0,0.97,41728,1294,471,823,36.4,63.6,1513,1438,79,324,277,341,269,118,30,75,95.04,5.22,21.41,18.31,22.54,17.78,7.8,1.98,4.96
"06037101300","14000US06037101300","Census Tract 1013","Census Tract 1013, Los Angeles County, California","ca","140","00","ACSSF","0003874",,,,,"06","037",,,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4297,4297,3705,161,0,289,0,48,94,86.22,3.75,0,6.73,0,1.12,2.19,4297,4013,3503,161,0,289,0,0,60,284,202,0,0,0,0,48,34,93.39,81.52,3.75,0,6.73,0,0,1.4,6.61,4.7,0,0,0,0,1.12,0.79,3446,362,949,1145,604,278,82,26,10.5,27.54,33.23,17.53,8.07,2.38,0.75,86914,1435,1268,167,88.36,11.64,2041,1851,50,288,441,392,325,243,112,190,90.69,2.45,14.11,21.61,19.21,15.92,11.91,5.49,9.31
"06037101400","14000US06037101400","Census Tract 1014","Census Tract 1014, Los Angeles County, California","ca","140","00","ACSSF","0003875",,,,,"06","037",,,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3851,3851,3022,18,43,348,0,224,196,78.47,0.47,1.12,9.04,0,5.82,5.09,3851,3107,2529,10,9,348,0,22,189,744,493,8,34,0,0,202,7,80.68,65.67,0.26,0.23,9.04,0,0.57,4.91,19.32,12.8,0.21,0.88,0,0,5.25,0.18,2771,258,510,1057,625,224,81,16,9.31,18.4,38.15,22.56,8.08,2.92,0.58,71125,1473,1049,424,71.22,28.78,1791,1700,127,299,322,257,451,152,92,91,94.92,7.09,16.69,17.98,14.35,25.18,8.49,5.14,5.08
"06037102103","14000US06037102103","Census Tract 1021.03","Census Tract 1021.03, Los Angeles County, California","ca","140","00","ACSSF","0003876",,,,,"06","037",,,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,1771,1523,0,0,113,0,50,85,86,0,0,6.38,0,2.82,4.8,1771,1301,1154,0,0,113,0,7,27,470,369,0,0,0,0,43,58,73.46,65.16,0,0,6.38,0,0.4,1.52,26.54,20.84,0,0,0,0,2.43,3.27,1370,95,348,389,398,87,0,53,6.93,25.4,28.39,29.05,6.35,0,3.87,76333,696,457,239,65.66,34.34,801,728,33,152,250,169,50,74,0,73,90.89,4.12,18.98,31.21,21.1,6.24,9.24,0,9.11
"06037102104","14000US06037102104","Census Tract 1021.04","Census Tract 1021.04, Los Angeles County, California","ca","140","00","ACSSF","0003877",,,,,"06","037",,,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3554,3554,2720,117,3,443,8,206,57,76.53,3.29,0.08,12.46,0.23,5.8,1.6,3554,2979,2374,112,0,432,8,0,53,575,346,5,3,11,0,206,4,83.82,66.8,3.15,0,12.16,0.23,0,1.49,16.18,9.74,0.14,0.08,0.31,0,5.8,0.11,2664,218,636,813,595,361,15,26,8.18,23.87,30.52,22.33,13.55,0.56,0.98,70754,1270,895,375,70.47,29.53,1599,1425,122,470,199,214,237,85,98,174,89.12,7.63,29.39,12.45,13.38,14.82,5.32,6.13,10.88
"06037102105","14000US06037102105","Census Tract 1021.05","Census Tract 1021.05, Los Angeles County, California","ca","140","00","ACSSF","0003878",,,,,"06","037",,,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857,1857,1179,41,13,117,12,415,80,63.49,2.21,0.7,6.3,0.65,22.35,4.31,1857,595,380,37,13,117,12,0,36,1262,799,4,0,0,0,415,44,32.04,20.46,1.99,0.7,6.3,0.65,0,1.94,67.96,43.03,0.22,0,0,0,22.35,2.37,1291,276,357,401,224,27,0,6,21.38,27.65,31.06,17.35,2.09,0,0.46,52132,563,270,293,47.96,52.04,1032,1032,41,381,156,274,124,56,0,0,100,3.97,36.92,15.12,26.55,12.02,5.43,0,0
"06037102107","14000US06037102107","Census Tract 1021.07","Census Tract 1021.07, Los Angeles County, California","ca","140","00","ACSSF","0003879",,,,,"06","037",,,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4333,4333,3402,111,6,395,0,319,100,78.51,2.56,0.14,9.12,0,7.36,2.31,4333,3165,2604,111,6,395,0,0,49,1168,798,0,0,0,0,319,51,73.04,60.1,2.56,0.14,9.12,0,0,1.13,26.96,18.42,0,0,0,0,7.36,1.18,3290,306,726,1139,873,155,77,14,9.3,22.07,34.62,26.53,4.71,2.34,0.43,106037,1305,970,335,74.33,25.67,2044,1977,112,409,506,304,303,326,17,67,96.72,5.48,20.01,24.76,14.87,14.82,15.95,0.83,3.28
